['Deep Learning and Its Applications in Biomedicine']	['A survey on deep learning in medicine: Why, how and when?']	['Information Fusion']	['66']	[',\npp.\n111-137\n']	[]	['2021']	[]
['Tet2 Regulates Osteoclast Differentiation by Interacting with Runx1 and Maintaining Genomic 5-Hydroxymethylcytosine (5hmC)']	['The Positive Effect of TET2 on the Osteogenic Differentiation of Human Adipose-Derived Mesenchymal Stem Cells']	['Cellular Reprogramming']	['22']	['(1)']	[',\npp.\n3-13\n']	['2020']	[]
['Tet2 Regulates Osteoclast Differentiation by Interacting with Runx1 and Maintaining Genomic 5-Hydroxymethylcytosine (5hmC)']	['A novel mutation in the promoter region of RPL8 regulates milk fat traits in dairy cattle by binding transcription factor Pax6']	['Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids']	['1864']	['(12)']	[',158528']	['2019']	['\n1\n']
['Tet2 Regulates Osteoclast Differentiation by Interacting with Runx1 and Maintaining Genomic 5-Hydroxymethylcytosine (5hmC)']	['Six1 regulates leukemia stem cell maintenance in acute myeloid leukemia']	['Cancer Science']	['110']	['(7)']	[',\npp.\n2200-2210\n']	['2019']	['\n3\n']
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	['RNA-Seq approach for accurate characterization of splicing efficiency of yeast introns']	['Methods']	['176']	[',\npp.\n25-33\n']	[]	['2020']	['\n2\n']
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	['Protein assembly systems in natural and synthetic biology']	['BMC Biology']	['18']	['(1)']	[',35']	['2020']	['\n2\n']
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	['Serial and parallel implementation of Needleman-Wunsch algorithm']	['International Journal of Advances in Intelligent Informatics']	['6']	['(1)']	[',\npp.\n97-108\n']	['2020']	[]
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	['Major Revisions in Arthropod Phylogeny Through Improved Supermatrix, With Support for Two Possible Waves of Land Invasion by Chelicerates']	['Evolutionary Bioinformatics']	['16']	[]	[]	['2020']	[]
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	['Sulphur systems biology - Making sense of omics data']	['Journal of Experimental Botany']	['70']	['(16)']	[',erz260']	['2019']	['\n4\n']
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	['An Efficient Parallel Algorithm for Global Sequence Alignment on Multi-cores']	[]	['8950543']	[',\npp.\n147-152\n']	[]	['2019']	[]
['Bioinformatics and the cell: Modern computational approaches in genomics, proteomics and transcriptomics, Second edition']	['Fungal mitochondrial genomes and genetic polymorphisms']	['Applied Microbiology and Biotechnology']	['102']	['(22)']	[',\npp.\n9433-9448\n']	['2018']	['\n27\n']
['Warburg Effects in Cancer and Normal Proliferating Cells: Two Tales of the Same Name']	['Co-expression based cancer staging and application']	['Scientific Reports']	['10']	['(1)']	[',10624']	['2020']	[]
['Warburg Effects in Cancer and Normal Proliferating Cells: Two Tales of the Same Name']	['Diallyl disulfide regulates energy metabolism by targeting aMP-activated protein kinase alpha1 in human gastric cancer cells']	['Minerva Biotecnologica']	['32']	['(3)']	[',\npp.\n114-120\n']	['2020']	[]
['Warburg Effects in Cancer and Normal Proliferating Cells: Two Tales of the Same Name']	['Insights regarding novel biomarkers and the pathogenesis of primary colorectal carcinoma based on bioinformatic analysis']	['Computational Biology and Chemistry']	['85']	[',107229']	[]	['2020']	['\n1\n']
['Warburg Effects in Cancer and Normal Proliferating Cells: Two Tales of the Same Name']	['Elucidation of Functional Roles of Sialic Acids in Cancer Migration']	['Frontiers in Oncology']	['10']	[',401']	[]	['2020']	[]
['Warburg Effects in Cancer and Normal Proliferating Cells: Two Tales of the Same Name']	['Metabolic reprogramming in cancer is induced to increase proton production']	['Cancer Research']	['80']	['(5)']	[',\npp.\n1143-1155\n']	['2020']	['\n4\n']
['Warburg Effects in Cancer and Normal Proliferating Cells: Two Tales of the Same Name']	['Multi-Classification of Cancer Samples Based on Co-Expression Analyses']	[]	['8983054']	[',\npp.\n197-201\n']	[]	['2019']	[]
['Global Quantitative Mapping of Enhancers in Rice by STARR-seq']	['Cloning and functional identification of a Chilo suppressalis-inducible promoter of rice gene, OsHPL2']	['Pest Management Science']	['76']	['(9)']	[',\npp.\n3177-3187\n']	['2020']	[]
['Global Quantitative Mapping of Enhancers in Rice by STARR-seq']	['Improving plant gene regulatory network inference by integrative analysis of multi-omics and high resolution data sets']	['Current Opinion in Systems Biology']	['22']	[',\npp.\n8-15\n']	[]	['2020']	[]
['Global Quantitative Mapping of Enhancers in Rice by STARR-seq']	['Shooting for the STARRs: A modified starr-seq assay for rapid identification and evaluation of plant regulatory sequences in Tobacco Leaves']	['Plant Cell']	['32']	['(7)']	[',\npp.\n2057-2058\n']	['2020']	[]
['Global Quantitative Mapping of Enhancers in Rice by STARR-seq']	['Identification of plant enhancers and their constituent elements by STARR-seq in tobacco leaves']	['Plant Cell']	['32']	['(7)']	[',\npp.\n2120-2131\n']	['2020']	['\n1\n']
['Global Quantitative Mapping of Enhancers in Rice by STARR-seq']	['Understanding epigenomics based on the rice model']	['Theoretical and Applied Genetics']	['133']	['(5)']	[',\npp.\n1345-1363\n']	['2020']	['\n2\n']
['Global Quantitative Mapping of Enhancers in Rice by STARR-seq']	['Chromatin domains in space and their functional implications']	['Current Opinion in Plant Biology']	['54']	[',\npp.\n1-10\n']	[]	['2020']	['\n3\n']
['SSCC: A Novel Computational Framework for Rapid and Accurate Clustering Large-scale Single Cell RNA-seq Data']	['An adaptive sparse subspace clustering for cell type identification']	['Frontiers in Genetics']	['11']	[',407']	[]	['2020']	[]
['SSCC: A Novel Computational Framework for Rapid and Accurate Clustering Large-scale Single Cell RNA-seq Data']	['LAK: Lasso and K-Means Based Single-Cell RNA-Seq Data Clustering Analysis']	['IEEE Access']	['8']	[',9143102']	[',\npp.\n129679-129688\n']	['2020']	[]
['SSCC: A Novel Computational Framework for Rapid and Accurate Clustering Large-scale Single Cell RNA-seq Data']	['Single-cell sequencing in human genital infections']	['Advances in Experimental Medicine and Biology']	['1255']	[',\npp.\n203-220\n']	[]	['2020']	['\n1\n']
['SSCC: A Novel Computational Framework for Rapid and Accurate Clustering Large-scale Single Cell RNA-seq Data']	['Benchmark and Parameter Sensitivity Analysis of Single-Cell RNA Sequencing Clustering Methods']	['Frontiers in Genetics']	['10']	[',1253']	[]	['2019']	['\n1\n']
['SSCC: A Novel Computational Framework for Rapid and Accurate Clustering Large-scale Single Cell RNA-seq Data']	['Deep generative autoencoder for low-dimensional embeding extraction from single-cell RNAseq data']	[]	['8983289']	[',\npp.\n1365-1372\n']	[]	['2019']	[]
['SSCC: A Novel Computational Framework for Rapid and Accurate Clustering Large-scale Single Cell RNA-seq Data']	['BERMUDA: A novel deep transfer learning method for single-cell RNA sequencing batch correction reveals hidden high-resolution cellular subtypes']	['Genome Biology']	['20']	['(1)']	[',165']	['2019']	['\n10\n']
['Effects of Proton Pump Inhibitors on the Gastrointestinal Microbiota in Gastroesophageal Reflux Disease']	['Mucosa-associated microbiota in the jejunum of patients with morbid obesity: alterations in states of insulin resistance and metformin treatment']	['Surgery for Obesity and Related Diseases']	['16']	['(10)']	[',\npp.\n1575-1585\n']	['2020']	[]
['Effects of Proton Pump Inhibitors on the Gastrointestinal Microbiota in Gastroesophageal Reflux Disease']	['Gut microbiota in surgical and critically ill patients']	['Anaesthesia and Intensive Care']	['48']	['(3)']	[',\npp.\n179-195\n']	['2020']	['\n2\n']
['Effects of Proton Pump Inhibitors on the Gastrointestinal Microbiota in Gastroesophageal Reflux Disease']	['Gastric balloon microbiota: The first investigation of the existence of microbes on the balloon surface']	['Polish Archives of Internal Medicine']	['130']	['(4)']	[',\npp.\n340-342\n']	['2020']	[]
['Effects of Proton Pump Inhibitors on the Gastrointestinal Microbiota in Gastroesophageal Reflux Disease']	['Simultaneous assessment of urinary and fecal volatile organic compound analysis in de novo pediatric IBD']	['Sensors (Switzerland)']	['19']	['(20)']	[',4496']	['2019']	['\n2\n']
['Effects of Proton Pump Inhibitors on the Gastrointestinal Microbiota in Gastroesophageal Reflux Disease']	['Duration of use of proton pump inhibitors and the risk of gastric and oesophageal cancer']	['Cancer Epidemiology']	['62']	[',101585']	[]	['2019']	['\n8\n']
['Effects of Proton Pump Inhibitors on the Gastrointestinal Microbiota in Gastroesophageal Reflux Disease']	['The Fast Track for Microbiome Research']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n1-3\n']	['2019']	['\n1\n']
['GITAR: An Open Source Tool for Analysis and Visualization of Hi-C Data']	['Identification and Analysis of p53-Regulated Enhancers in Hepatic Carcinoma']	['Frontiers in Bioengineering and Biotechnology']	['8']	[',668']	[]	['2020']	[]
['GITAR: An Open Source Tool for Analysis and Visualization of Hi-C Data']	['TOPORS, a tumor suppressor protein, contributes to the maintenance of higher-order chromatin architecture']	['Biochimica et Biophysica Acta - Gene Regulatory Mechanisms']	['1863']	['(5)']	[',194518']	['2020']	[]
['GITAR: An Open Source Tool for Analysis and Visualization of Hi-C Data']	['The Nuclear Matrix Protein SAFB Cooperates with Major Satellite RNAs to Stabilize Heterochromatin Architecture Partially through Phase Separation']	['Molecular Cell']	['77']	['(2)']	[',\npp.\n368-383.e7\n']	['2020']	['\n9\n']
['GITAR: An Open Source Tool for Analysis and Visualization of Hi-C Data']	['Cumulative contact frequency of a chromatin region is an intrinsic property linked to its function']	['PeerJ']	['8']	[',e9566']	[]	['2020']	[]
['GITAR: An Open Source Tool for Analysis and Visualization of Hi-C Data']	['HiCeekR: A Novel Shiny App for Hi-C Data Analysis']	['Frontiers in Genetics']	['10']	[',1079']	[]	['2019']	[]
['GITAR: An Open Source Tool for Analysis and Visualization of Hi-C Data']	['Gene Regulatory Elements Extraction in Breast Cancer by Hi-C Data Using a Meta-Heuristic Method']	['Russian Journal of Genetics']	['55']	['(9)']	[',\npp.\n1152-1164\n']	['2019']	['\n4\n']
['Genome Writing: Current Progress and Related Applications']	['Synthetic connectomes at the interface: Reply to comments on “What would a synthetic connectome look like?”']	['Physics of Life Reviews']	['33']	[',\npp.\n30-33\n']	[]	['2020']	[]
['Genome Writing: Current Progress and Related Applications']	['Heterologous metabolic pathways: Strategies for optimal expression in eukaryotic hosts']	['Acta Naturae']	['12']	['(2)']	[',\npp.\n28-39\n']	['2020']	[]
['Genome Writing: Current Progress and Related Applications']	['Genome engineering for stem cell transplantation']	['Experimental and Clinical Transplantation']	['17']	[',\npp.\n31-37\n']	[]	['2019']	['\n1\n']
['Genome Writing: Current Progress and Related Applications']	['What would a synthetic connectome look like?']	['Physics of Life Reviews']	[]	[]	[]	['2019']	['\n5\n']
['Genome Writing: Current Progress and Related Applications']	['Whole genome engineering by synthesis']	['Science China Life Sciences']	['61']	['(12)']	[',\npp.\n1515-1527\n']	['2018']	['\n8\n']
['Genome Writing: Current Progress and Related Applications']	['Synthetic biology for production of commercially important natural product small molecules']	[]	['\npp.\n189-205\n']	[]	[]	['2018']	['\n1\n']
['Preprocessing of 2-Dimensional Gel Electrophoresis Images Applied to Proteomic Analysis: A Review']	['H', 'S Regulation of Metabolism in Cucumber in Response to Salt-Stress Through Transcriptome and Proteome Analysis']	['Frontiers in Plant Science']	['11']	[',1283']	[]	['2020']	[]
['Preprocessing of 2-Dimensional Gel Electrophoresis Images Applied to Proteomic Analysis: A Review']	['Comparison of methods for the extraction of proteins from root and leaf tissue of sugarcane (Saccharum spp.) for proteomic analysis']	['Australian Journal of Crop Science']	['14']	['(8)']	[',\npp.\n1221-1229\n']	['2020']	[]
['Preprocessing of 2-Dimensional Gel Electrophoresis Images Applied to Proteomic Analysis: A Review']	['2D electrophoresis image brightness correction based on gradient interval histogram']	['BMC Bioinformatics']	['21']	['(1)']	[',117']	['2020']	[]
['Preprocessing of 2-Dimensional Gel Electrophoresis Images Applied to Proteomic Analysis: A Review']	['Combined proteomics and metabolism analysis unravels prominent roles of antioxidant system in the prevention of alfalfa (Medicago sativa L.) against salt stress']	['International Journal of Molecular Sciences']	['21']	['(3)']	[',909']	['2020']	['\n2\n']
['Preprocessing of 2-Dimensional Gel Electrophoresis Images Applied to Proteomic Analysis: A Review']	['Differential vs. comparative gel electrophoresis: New technology drives standardisation and quantification in protein two-dimensional gel electrophoresis']	['TrAC - Trends in Analytical Chemistry']	['122']	[',115731']	[]	['2020']	[]
['Preprocessing of 2-Dimensional Gel Electrophoresis Images Applied to Proteomic Analysis: A Review']	['Automatic enhancement of two-dimensional gel electrophoresis images using denoising autoencoder']	[]	['9068175']	[',\npp.\n357-361\n']	[]	['2019']	[]
["Translational Informatics for Parkinson's Disease: from Big Biomedical Data to Small Actionable Alterations"]	['Systems biology comprehensive analysis on breast cancer for identification of key gene modules and genes associated with TNM-based clinical stages']	['Scientific Reports']	['10']	['(1)']	[',10816']	['2020']	['\n2\n']
["Translational Informatics for Parkinson's Disease: from Big Biomedical Data to Small Actionable Alterations"]	['Data-driven microbiota biomarker discovery for personalized drug therapy of cardiovascular disease']	['Pharmacological Research']	['161']	[',105225']	[]	['2020']	[]
["Translational Informatics for Parkinson's Disease: from Big Biomedical Data to Small Actionable Alterations"]	['Multidimensional Clustering over Big Data: Models, Issues, Analysis, Emerging Trends']	[]	['3409117']	[]	[]	['2020']	[]
["Translational Informatics for Parkinson's Disease: from Big Biomedical Data to Small Actionable Alterations"]	['Data-driven translational prostate cancer research: From biomarker discovery to clinical decision']	['Journal of Translational Medicine']	['18']	['(1)']	[',119']	['2020']	['\n2\n']
["Translational Informatics for Parkinson's Disease: from Big Biomedical Data to Small Actionable Alterations"]	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
["Machine Learning to Detect Alzheimer's Disease from Circulating Non-coding RNAs"]	['A blood miRNA signature associates with sporadic Creutzfeldt-Jakob disease diagnosis']	['Nature Communications']	['11']	['(1)']	[',3960']	['2020']	[]
["Machine Learning to Detect Alzheimer's Disease from Circulating Non-coding RNAs"]	['Circulating MicroRNA Profile Associated with Obstructive Sleep Apnea in Alzheimer’s Disease']	['Molecular Neurobiology']	['57']	['(11)']	[',\npp.\n4363-4372\n']	['2020']	[]
["Machine Learning to Detect Alzheimer's Disease from Circulating Non-coding RNAs"]	["In Vivo Chimeric Alzheimer's Disease Modeling of Apolipoprotein E4 Toxicity in Human Neurons"]	['Cell Reports']	['32']	['(4)']	[',107962']	['2020']	[]
["Machine Learning to Detect Alzheimer's Disease from Circulating Non-coding RNAs"]	['The prediction of miRNAs in SARS-CoV-2 genomes: Hsa-miR databases identify 7 key miRs linked to host responses and virus pathogenicity-related KEGG pathways significant for comorbidities']	['Viruses']	['12']	['(6)']	[',614']	['2020']	['\n2\n']
["Machine Learning to Detect Alzheimer's Disease from Circulating Non-coding RNAs"]	['DynaVenn: Web-based computation of the most significant overlap between ordered sets']	['BMC Bioinformatics']	['20']	['(1)']	[',743']	['2019']	['\n1\n']
['Deciphering Brain Complexity Using Single-cell Sequencing']	['Transcriptomic analysis of the signature of neurogenesis in human hippocampus suggests restricted progenitor cell progression post-childhood']	['IBRO Reports']	['9']	[',\npp.\n224-232\n']	[]	['2020']	[]
['Deciphering Brain Complexity Using Single-cell Sequencing']	['Transcriptomic signatures of brain regional vulnerability to Parkinson’s disease']	['Communications Biology']	['3']	['(1)']	[',101']	['2020']	['\n1\n']
['Deciphering Brain Complexity Using Single-cell Sequencing']	['Lessons from single cell sequencing in CNS cell specification and function']	['Current Opinion in Genetics and Development']	['65']	[',\npp.\n138-143\n']	[]	['2020']	[]
['Deciphering Brain Complexity Using Single-cell Sequencing']	['Hypoxic-ischemic-related cerebrovascular changes and potential therapeutic strategies in the neonatal brain']	['Journal of Neuroscience Research']	['98']	['(7)']	[',\npp.\n1468-1484\n']	['2020']	['\n2\n']
['Deciphering Brain Complexity Using Single-cell Sequencing']	['Big Data and the Brain: Peeking at the Future']	['Genomics, Proteomics and Bioinformatics']	['17']	['(4)']	[',\npp.\n333-336\n']	['2019']	[]
['Transcriptome and Regulatory Network Analyses of CD19-CAR-T Immunotherapy for B-ALL']	['Identification of acute myeloid leukemia bone marrow circulating microRNAs']	['International Journal of Molecular Sciences']	['21']	['(19)']	[',7065']	['2020']	[]
['Transcriptome and Regulatory Network Analyses of CD19-CAR-T Immunotherapy for B-ALL']	['The Chimeric Antigen Receptor Detection Toolkit']	['Frontiers in Immunology']	['11']	[',1770']	[]	['2020']	[]
['Transcriptome and Regulatory Network Analyses of CD19-CAR-T Immunotherapy for B-ALL']	['Chimeric antigen receptor T cells in solid tumors: a war against the tumor microenvironment']	['Science China Life Sciences']	['63']	['(2)']	[',\npp.\n180-205\n']	['2020']	['\n4\n']
['Transcriptome and Regulatory Network Analyses of CD19-CAR-T Immunotherapy for B-ALL']	['hTFtarget: A Comprehensive Database for Regulations of Human Transcription Factors and Their Targets']	['Genomics, Proteomics and Bioinformatics']	[]	[]	[]	['2020']	[]
['Transcriptome and Regulatory Network Analyses of CD19-CAR-T Immunotherapy for B-ALL']	['The Role of MicroRNA in Paediatric Acute Lymphoblastic Leukaemia: Challenges for Diagnosis and Therapy']	['Journal of Oncology']	['2019']	[',8941471']	[]	['2019']	['\n4\n']
['How Microbes Shape Their Communities? A Microbial Community Model Based on Functional Genes']	['Ionic Liquid Enriches the Antibiotic Resistome, Especially Efflux Pump Genes, before Significantly Affecting Microbial Community Structure']	['Environmental Science and Technology']	['54']	['(7)']	[',\npp.\n4305-4315\n']	['2020']	[]
['How Microbes Shape Their Communities? A Microbial Community Model Based on Functional Genes']	['Predicting Microbiome Function Across Space Is Confounded by Strain-Level Differences and Functional Redundancy Across Taxa']	['Frontiers in Microbiology']	['11']	[',101']	[]	['2020']	['\n1\n']
['How Microbes Shape Their Communities? A Microbial Community Model Based on Functional Genes']	['Applying mathematical models in the construction of synthetic microbial communities']	['Chinese Journal of Applied and Environmental Biology']	['26']	['(4)']	[',\npp.\n809-819\n']	['2020']	[]
['How Microbes Shape Their Communities? A Microbial Community Model Based on Functional Genes']	['A practical guide to amplicon and metagenomic analysis of microbiome data']	['Protein and Cell']	[]	[]	[]	['2020']	['\n2\n']
['How Microbes Shape Their Communities? A Microbial Community Model Based on Functional Genes']	['The Fast Track for Microbiome Research']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n1-3\n']	['2019']	['\n1\n']
['From Basic Research to Molecular Breeding — Chinese Scientists Play A Central Role in Boosting World Rice Production']	['Thermal imaging of rice grains and flours to design convolutional systems to ensure quality and safety']	['Food Control']	['121']	[',107572']	[]	['2021']	[]
['From Basic Research to Molecular Breeding — Chinese Scientists Play A Central Role in Boosting World Rice Production']	['Visible imaging to convolutionally discern and authenticate varieties of rice and their derived flours']	['Food Control']	['110']	[',106971']	[]	['2020']	['\n1\n']
['From Basic Research to Molecular Breeding — Chinese Scientists Play A Central Role in Boosting World Rice Production']	['Dynamics of Selenium uptake, speciation, and antioxidant response in rice at different panicle initiation stages']	['Science of the Total Environment']	['691']	[',\npp.\n827-834\n']	[]	['2019']	['\n9\n']
['From Basic Research to Molecular Breeding — Chinese Scientists Play A Central Role in Boosting World Rice Production']	['Yield-scaled N', 'O and CH', ' emissions as affected by combined application of stabilized nitrogen fertilizer and pig manure in rice fields']	['Plant, Soil and Environment']	['65']	['(10)']	[',\npp.\n497-502\n']	['2019']	['\n3\n']
['From Basic Research to Molecular Breeding — Chinese Scientists Play A Central Role in Boosting World Rice Production']	['A Time for Celebration: 40th Anniversary of GSC and 15th Anniversary of BIG, CAS']	['Genomics, Proteomics and Bioinformatics']	['16']	['(6)']	[',\npp.\n387-388\n']	['2018']	[]
['The Immunome of Colon Cancer: Functional In Silico Analysis of Antigenic Proteins Deduced from IgG Microarray Profiling']	['Chemotherapy-induced ileal crypt apoptosis and the ileal microbiome shape immunosurveillance and prognosis of proximal colon cancer']	['Nature Medicine']	['26']	['(6)']	[',\npp.\n919-931\n']	['2020']	['\n5\n']
['The Immunome of Colon Cancer: Functional In Silico Analysis of Antigenic Proteins Deduced from IgG Microarray Profiling']	['Systemic autoinflammatory diseases']	['Journal of Autoimmunity']	['109']	[',102421']	[]	['2020']	['\n3\n']
['The Immunome of Colon Cancer: Functional In Silico Analysis of Antigenic Proteins Deduced from IgG Microarray Profiling']	['Development of autoantibody signatures for common cancers']	['Seminars in Immunology']	['47']	[',101388']	[]	['2020']	[]
['The Immunome of Colon Cancer: Functional In Silico Analysis of Antigenic Proteins Deduced from IgG Microarray Profiling']	['Bioinformatics Tools and Resources for Cancer Immunotherapy Study']	['Methods in Molecular Biology']	['2055']	[',\npp.\n649-678\n']	[]	['2020']	[]
['The Immunome of Colon Cancer: Functional In Silico Analysis of Antigenic Proteins Deduced from IgG Microarray Profiling']	['Copy number variation is highly correlated with differential gene expression: A pan-cancer study']	['BMC Medical Genetics']	['20']	['(1)']	[',175']	['2019']	['\n7\n']
['Novel Autoantibodies Related to Cell Death and DNA Repair Pathways in Systemic Lupus Erythematosus']	['Base Excision Repair in the Immune System: Small DNA Lesions With Big Consequences']	['Frontiers in Immunology']	['11']	[',1084']	[]	['2020']	[]
['Novel Autoantibodies Related to Cell Death and DNA Repair Pathways in Systemic Lupus Erythematosus']	['Pre-existing self-reactive IgA antibodies associated with primary graft dysfunction after lung transplantation']	['Transplant Immunology']	['59']	[',101271']	[]	['2020']	[]
['Novel Autoantibodies Related to Cell Death and DNA Repair Pathways in Systemic Lupus Erythematosus']	['Omega-3 fatty acid intake suppresses induction of diverse autoantibody repertoire by crystalline silica in lupus-prone mice']	['Autoimmunity']	[]	[]	[]	['2020']	['\n1\n']
['Novel Autoantibodies Related to Cell Death and DNA Repair Pathways in Systemic Lupus Erythematosus']	['DNA damage response and oxidative stress in systemic autoimmunity']	['International Journal of Molecular Sciences']	['21']	['(1)']	[',55']	['2020']	['\n5\n']
['GPA: A Microbial Genetic Polymorphisms Assignments Tool in Metagenomic Analysis by Bayesian Estimation']	['Varying Balancing Transfer Learning for BN Parameter Estimation']	[]	['9164198']	[',\npp.\n2179-2184\n']	[]	['2020']	[]
['GPA: A Microbial Genetic Polymorphisms Assignments Tool in Metagenomic Analysis by Bayesian Estimation']	['Metagenomics for taxonomy profiling: tools and approaches']	['Bioengineered']	['11']	['(1)']	[',\npp.\n356-374\n']	['2020']	['\n4\n']
['GPA: A Microbial Genetic Polymorphisms Assignments Tool in Metagenomic Analysis by Bayesian Estimation']	['Deconvoluting the diversity of within-host pathogen strains in a multi-locus sequence typing framework']	['BMC Bioinformatics']	['20']	[',637']	[]	['2019']	['\n1\n']
['GPA: A Microbial Genetic Polymorphisms Assignments Tool in Metagenomic Analysis by Bayesian Estimation']	['The Fast Track for Microbiome Research']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n1-3\n']	['2019']	['\n1\n']
['Stereotypes About Enterotype: the Old and New Ideas']	['Microbes and mental health: Can the microbiome help explain clinical heterogeneity in psychiatry?']	['Frontiers in Neuroendocrinology']	['58']	[',100849']	[]	['2020']	['\n1\n']
['Stereotypes About Enterotype: the Old and New Ideas']	['Perspective: Metabotyping - A Potential Personalized Nutrition Strategy for Precision Prevention of Cardiometabolic Disease']	['Advances in Nutrition']	['11']	['(3)']	[',\npp.\n524-532\n']	['2020']	['\n1\n']
['Stereotypes About Enterotype: the Old and New Ideas']	['Intestinal microbiome analysis demonstrates azithromycin post-treatment effects improve when combined with lactulose']	['World Journal of Pediatrics']	['16']	['(2)']	[',\npp.\n168-176\n']	['2020']	['\n1\n']
['Stereotypes About Enterotype: the Old and New Ideas']	['The Fast Track for Microbiome Research']	['Genomics, Proteomics and Bioinformatics']	['17']	['(1)']	[',\npp.\n1-3\n']	['2019']	['\n1\n']
['Machine Learning Models for Genetic Risk Assessment of Infants with Non-syndromic Orofacial Cleft']	['Machine Learning Algorithms for Predicting the Recurrence of Stage IV Colorectal Cancer After Tumor Resection']	['Scientific Reports']	['10']	['(1)']	[',2519']	['2020']	['\n1\n']
['Machine Learning Models for Genetic Risk Assessment of Infants with Non-syndromic Orofacial Cleft']	['Radiomics and Machine Learning in Oral Healthcare']	['Proteomics - Clinical Applications']	['14']	['(3)']	[',1900040']	['2020']	['\n4\n']
['Machine Learning Models for Genetic Risk Assessment of Infants with Non-syndromic Orofacial Cleft']	['Artificial intelligence in pediatrics']	['Chinese Medical Journal']	['133']	['(3)']	[',\npp.\n358-360\n']	['2020']	[]
['Machine Learning Models for Genetic Risk Assessment of Infants with Non-syndromic Orofacial Cleft']	['Association of MTHFR 1298A > C Polymorphism with Susceptibility to Non-Syndromic Cleft Lip with or without Palate: A Case-Control Study and Meta-Analysis']	['Fetal and Pediatric Pathology']	[]	[]	[]	['2019']	['\n5\n']
['HeteroMeth: A Database of Cell-to-cell Heterogeneity in DNA Methylation']	['Single-Cell Genomics and Epigenomics: Technologies and Applications in Plants']	['Trends in Plant Science']	['25']	['(10)']	[',\npp.\n1030-1040\n']	['2020']	['\n1\n']
['HeteroMeth: A Database of Cell-to-cell Heterogeneity in DNA Methylation']	['Contiguous and stochastic CHH methylation patterns of plant DRM2 and CMT2 revealed by single-read methylome analysis']	['Genome Biology']	['21']	['(1)']	[',194']	['2020']	[]
['HeteroMeth: A Database of Cell-to-cell Heterogeneity in DNA Methylation']	['Combined neurodevelopmental exposure to deltamethrin and corticosterone is associated with Nr3c1 hypermethylation in the midbrain of male mice']	['Neurotoxicology and Teratology']	['80']	[',106887']	[]	['2020']	[]
['HeteroMeth: A Database of Cell-to-cell Heterogeneity in DNA Methylation']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n']	['2018']	[]
['CCGD-ESCC: A Comprehensive Database for Genetic Variants Associated with Esophageal Squamous Cell Carcinoma in Chinese Population']	['Integrating transcriptome and metabolome variability to reveal pathogenesis of esophageal squamous cell carcinoma']	['Biochimica et Biophysica Acta - Molecular Basis of Disease']	['1867']	['(1)']	[',165966']	['2021']	[]
['CCGD-ESCC: A Comprehensive Database for Genetic Variants Associated with Esophageal Squamous Cell Carcinoma in Chinese Population']	['Identification and validation of hub microRNAs dysregulated in esophageal squamous cell carcinoma']	['Aging']	['12']	['(10)']	[',\npp.\n9807-9824\n']	['2020']	[]
['CCGD-ESCC: A Comprehensive Database for Genetic Variants Associated with Esophageal Squamous Cell Carcinoma in Chinese Population']	['A novel positive feedback loop of linc02042 and c-Myc mediated by YBX1 promotes tumorigenesis and metastasis in esophageal squamous cell carcinoma']	['Cancer Cell International']	['20']	['(1)']	[',1154']	['2020']	['\n1\n']
['CCGD-ESCC: A Comprehensive Database for Genetic Variants Associated with Esophageal Squamous Cell Carcinoma in Chinese Population']	['Bioinformatics Commons: The Cornerstone of Life and Health Sciences']	['Genomics, Proteomics and Bioinformatics']	['16']	['(4)']	[',\npp.\n223-225\n']	['2018']	[]
['Tung Tree (Vernicia fordii) Genome Provides A Resource for Understanding Genome Evolution and Improved Oil Production']	['Hidden in plain sight: Systematic investigation of Leucine-rich repeat containing genes unveil the their regulatory network in response to Fusarium wilt in tung tree']	['International Journal of Biological Macromolecules']	['163']	[',\npp.\n1759-1767\n']	[]	['2020']	[]
['Tung Tree (Vernicia fordii) Genome Provides A Resource for Understanding Genome Evolution and Improved Oil Production']	['Genome-wide identification and low temperature response analysis of OFP gene family in tung tree (Vernicia fordii) | [油桐OFP基因家族的全基因组鉴定及低温响应分析]']	['Zhiwu Shengli Xuebao/Plant Physiology Journal']	['56']	['(5)']	[',\npp.\n949-960\n']	['2020']	[]
